Timestamp,Name,Value
0.283694,"NT:/FMSInfo/.type","FMSInfo"
0.284029,"NT:/FMSInfo/IsRedAlliance",true
0.283942,"NT:/FMSInfo/MatchNumber",0
0.283967,"NT:/FMSInfo/ReplayNumber",0
0.289509,"NT:/FMSInfo/FMSControlData",32
0.283834,"NT:/FMSInfo/EventName",""
0.239501,"NT:/LiveWindow/.status/LW Enabled",false
0.283794,"NT:/FMSInfo/GameSpecificMessage",""
0.284047,"NT:/FMSInfo/StationNumber",1
0.284005,"NT:/FMSInfo/MatchType",0
0.462122,"NTConnection","{""connected"":true,""remote_id"":""shuffleboard"",""remote_ip"":""127.0.0.1"",""remote_port"":60112,""protocol_version"":768}"
0.462235,"messages","turning Encoder 0.00"
0.467096,"messages","absoluteEncoder -0.82"
0.468017,"messages","after zero turningEncoder -0.82"
0.469111,"messages","after zero absoluteEncoder -0.82"
0.470768,"messages","turning Encoder 0.00"
0.472517,"messages","absoluteEncoder -2.20"
0.473259,"messages","after zero turningEncoder -2.20"
0.474982,"messages","after zero absoluteEncoder -2.20"
0.476327,"messages","turning Encoder 0.00"
0.477653,"messages","absoluteEncoder 1.72"
0.478156,"messages","after zero turningEncoder 1.72"
0.478729,"messages","after zero absoluteEncoder 1.72"
0.479466,"messages","turning Encoder 0.00"
0.479813,"messages","absoluteEncoder 0.68"
0.480099,"messages","after zero turningEncoder 0.68"
0.480367,"messages","after zero absoluteEncoder 0.68"
0.549901,"messages","Started the DataLogManager!!!"
0.556426,"NT:/SmartDashboard/Loop Count: ",0
0.5566,"messages","Loop count 1"
0.557103,"NT:/SmartDashboard/FL Angle",-0.8215926535897928
0.557194,"NT:/SmartDashboard/FL Turning Encoder",-0.8215926289558411
0.557227,"NT:/SmartDashboard/FR Angle",-2.2015926535897936
0.557253,"NT:/SmartDashboard/BL Angle",1.7215926535897932
0.557271,"NT:/SmartDashboard/BR Angle",0.6815926535897932
0.557322,"NT:/SmartDashboard/BL Encoder Voltage",0
0.558631,"NT:/SmartDashboard/5V RobotController",0
0.558702,"NT:/SmartDashboard/FL Target Angle",0
0.55873,"NT:/SmartDashboard/Gyro",0
0.558796,"NT:/SmartDashboard/Mystery",-0
0.558935,"messages","Back Left Encoder Voltage 0.000000"
0.560166,"messages","Back Right Encoder Voltage 0.000000"
0.561265,"messages","Back left Angle 1.721593"
0.562412,"messages","Back right Angle 0.681593"
0.563162,"messages","Front left Angle -0.821593"
0.563562,"messages","Front right Angle -2.201593"
0.563999,"messages","Voltage 0.000000"
0.579956,"NT:/LiveWindow/Ungrouped/PIDController[3]/.name","PIDController[3]"
0.580037,"NT:/LiveWindow/Ungrouped/PIDController[3]/.type","PIDController"
